threat,pat,gap_2023,gap_2024,gap_2025,category,gap_magnitude_2025
Password Attack,PM,0.015806532746751468,0.010696285192089372,0.007734421996137682,SNG,0.007734421996137682
Malware,CR,0.039605056477986865,0.03277745785222716,0.0074776501668926965,SNG,0.0074776501668926965
Malware,FIM,0.023149552374332572,0.007602371999869924,-0.007218501136254894,SNG,0.007218501136254894
Malware,BBD,0.01676188681392744,0.012448749264694295,-0.0068137105978478925,SNG,0.0068137105978478925
Malware,HP,0.038091405206314495,0.03073157497219739,0.006336534674970695,SNG,0.006336534674970695
MITM,SSP,0.006910408857862954,0.003121832163703292,-0.006330575651836663,SNG,0.006330575651836663
Malware,DT,0.03151421758717382,0.02809307187109719,0.006291922022072072,SNG,0.006291922022072072
APT,GT,0.012304115409946711,0.01048794873534481,0.005881374565957877,SNG,0.005881374565957877
DDoS,PT,0.004760759487879944,0.0034189775435961023,-0.005587090452227846,SNG,0.005587090452227846
APT,MFA,0.004980691463820815,-0.0016364564162522726,-0.005553602207092612,SNG,0.005553602207092612
MITM,PT,0.01958068124072763,0.017545930138947747,0.00546576399594396,SNG,0.00546576399594396
Malware,AD,0.04142077589903103,0.03598853819239232,0.005438920923590801,SNG,0.005438920923590801
Malware,AC,0.04177947172950657,0.035620169078712995,0.004100198344979193,SNG,0.004100198344979193
Malware,SB,0.03894791577458224,0.03122654500683178,0.004058190979529262,SNG,0.004058190979529262
APT,PT,0.01958613449625467,0.01927480725657461,0.0038115150551123835,SNG,0.0038115150551123835
Supply Chain Attack,SCRM,0.018232623545238313,0.009257321074326022,-0.003731388270153522,SNG,0.003731388270153522
Malware,CS,0.03869654779561024,0.02912470646020888,0.0035378315026882525,SNG,0.0035378315026882525
Malware,GT,0.02888918870110352,0.020577564284547618,0.002496430309000902,SNG,0.002496430309000902
Insider Threat,MTD,0.004654863389728814,-0.00030461211300866764,-0.0019883565784753385,SNG,0.0019883565784753385
Malware,SA,0.031012452126830903,0.0276453985734349,-0.0019376278226271304,SNG,0.0019376278226271304
Brute Force Attack,MFA,0.015820454488569318,0.002024449189102865,-0.00105470905413646,SNG,0.00105470905413646
Password Attack,PT,0.006298984313864044,0.004137953736326416,0.0008683578618712459,SNG,0.0008683578618712459
